lieu,latitude,longitude
Peri'care Mermoz,"14,7128995","-17,4729151"
Driving School Sayda,"14,7134309","-17,4737183"
Galerie Yassine Art - Keur Gaïndé,"14,7120037","-17,4325375"
Résidence Kine Gueye,"14,7283586","-17,4412881"
Dkr Athletics,"14,6983326","-17,463876"
Garderie La Colombe,"14,7527719","-17,4917543"
état Civil de Ngor - Centre Secondaire,"14,7493841","-17,5146672"
Shell Keur Massar ACD,"14,7810737","-17,3121275"
Sosaleg,"14,7375004","-17,4554627"
Centre des Opérations d'Urgence Sanitaire,"14,691266","-17,4668979"
Machallah Shop,"14,7142684","-17,4455826"
Cire,"14,7702943","-17,4250093"
Ma ANTA AGRO ALIMENTAIRE,"14,6672475","-17,4347309"
Clean soft company,"14,7584239","-17,4401767"
Maison Des Pièces Auto,"14,7861882","-17,2773802"
Lady Hetty Design,"14,7291874","-17,4646474"
Vendeur de Jeans,"14,6956405","-17,4439327"
L'inizio Keur Mame Khady Kasse,"14,6930446","-17,4541988"
Chicken master,"14,68668","-17,4553734"
COSEN Sarl,"14,7819307","-17,3770087"
Le Service Informatique (L.S.I.),"14,6680712","-17,4359071"
Oundou Boutique Streetwear,"14,7595607","-17,4432824"
Badiane’s,"14,7608156","-17,4568089"
Peintures Senrev,"14,7520309","-17,2368824"
Center Islamic Des Mamelles Alkhayria,"14,7313113","-17,5000597"
Pharmacie Bagdad Khar Yalla,"14,7295586","-17,45214"
Hôtel stella di mare,"14,7375874","-17,3519759"
Yaye Coura,"14,7584101","-17,345674"
Dinota Traiteur,"14,7134612","-17,4664115"
Bar restaurant CONSENSUS,"14,7738994","-17,3208967"
kiosque recuplast point E,"14,7007754","-17,4592933"
Patisserie,"14,8092314","-17,2518695"
Budget,"14,6755732","-17,4374327"
Salle de sport ngaks,"14,7189515","-17,4537158"
Multiservice Serigne Saliou Mbacké,"14,7486152","-17,3521272"
Soleil Eau Vie (SEV) SARL,"14,755253","-17,4742689"
Cirabi Shop,"14,7310271","-17,4957718"
Maison Coura,"14,7640287","-17,3804445"
Pomme d'amour,"14,6682219","-17,4373172"
Satnav Africa Joint Programme Office (JPO),"14,7487157","-17,4882742"
Salle des fêtes,"14,7146999","-17,2725077"
Generale technologie,"14,6757732","-17,4507535"
Classic shoes by Rassoul,"14,7024133","-17,466488"
Cocorico Shop,"14,7236994","-17,4542643"
Ouma Couture,"14,7666251","-17,4354655"
SMP - STRUCTURES METALLIQUES & PIPES - BTP,"14,7056157","-17,4341109"
Cajou Dakar,"14,6684695","-17,4349082"
Training Survey Agency,"14,7223952","-17,180593"
Wetlands International Afrique,"14,6976215","-17,4548371"
PNDL programme National de Développement Local,"14,708522","-17,4685463"
Village Textile,"14,7043363","-17,4466029"
Sobesetay.plus 2 Chambres Liberté 6,"14,7196466","-17,4676624"
Groupe Scolaire La Fraternité,"14,7871025","-17,2871858"
Max Phone,"14,7272745","-17,4259047"
Plage Ouakam,"14,7157338","-17,4909948"
Tekné-Soft,"14,7506404","-17,4708407"
Malane Patisserie & Glacier,"14,7436506","-17,3342925"
Pharmacie Mere Marie,"14,7223988","-17,4654615"
SONAPTA S.A,"14,7718471","-17,404857"
FootMu7 Laverie,"14,7205357","-17,4678848"
Horlogier hlm,"14,7158999","-17,4459268"
Madina Xeweul Boutique,"14,7454246","-17,4704551"
Diwali Home Essentiel,"14,7134797","-17,4692763"
Cabinet Dentaire Adja Diama,"14,7902567","-17,3643339"
Ecole Des Douanes,"14,6928685","-17,4568327"
Boulangerie Serigne Mbacke Madina,"14,7710787","-17,3282805"
Mosquée unité 20,"14,7592197","-17,4436756"
Julaya Sénégal,"14,7139383","-17,4696023"
Keur Mame Diara Bousso,"14,7400376","-17,4694842"
Sainte Face,"14,744557","-17,4562483"
Abattoir AVISEN,"14,7347275","-17,2423081"
IDEV Ic Ex senagrosol,"14,7438398","-17,4437817"
Anta Creation Dakar,"14,7443861","-17,5278731"
Restaurant G2F,"14,7778719","-17,3269785"
Adjifama-Tech,"14,7471263","-17,4902556"
Quincaillerie Touba Sunu Rew,"14,6721768","-17,4362006"
Ndayane Couture,"14,7714344","-17,391417"
Pharmacie Mame Deffo,"14,7792141","-17,3827496"
Olam Senegal SA,"14,7206461","-17,1761269"
Manga Kunda,"14,796163","-17,337362"
SENSTOCK PN / AD,"14,6857382","-17,4223524"
Mosquée de Guédiawaye 2,"14,7868303","-17,3763651"
Riccardo il più n3g®0 del Senegal,"14,7267553","-17,4685669"
Michael coiffure,"14,7225748","-17,4534221"
Globale Santé Sénégal,"14,7110668","-17,4789828"
Tertain Cité Socabeg,"14,8119505","-17,259906"
Awa Bara Couture,"14,7618701","-17,3923403"
Bambilor Institute Of Science And Technology,"14,8020639","-17,1889068"
Famille sene,"14,720867","-17,451014"
Big mo 600,"14,7713758","-17,3889368"
Chambre a Coucher Dakar,"14,6826198","-17,4404789"
Teranga Nutrition,"14,7239348","-17,469501"
MAGIC'ROBINET,"14,7698749","-17,4141119"
Institut des Téchnologies du Digital (ITD),"14,7554362","-17,4704059"
Restaurant kër Bouba,"14,6115576","-17,1536898"
Express U,"14,7560677","-17,4715738"
DJIMERA GLOBALE SERVICES,"14,783202","-17,3003145"
Complexe Socio Culturel El hadji Ndiouga Dieng - Bargny,"14,6930112","-17,2294461"
Abs American Baby Shop For Less Shop For Babies Puériculture Vêtements Et Jouets,"14,7236632","-17,462215"
Centre QEI+ SENEGAL,"14,716657","-17,4710915"
Siège SAEMS,"14,7436685","-17,4409302"
Catherine Immob et commerce,"14,7342904","-17,4281543"
Ibrahima Ndiaye,"14,7442022","-17,4182451"
Soowou Saloum Sucre Sede,"14,7776678","-17,4015503"
Institut Pan Africain De Stratégies,"14,7515346","-17,4926085"
Phoenix Trading,"14,7230858","-17,472872"
SOW COUTURE,"14,7709451","-17,4228926"
Maro Alimentation & Multi-Services,"14,7874355","-17,3228533"
Vente en ligne Dakar,"14,7292359","-17,4694871"
VAZCOM,"14,7598354","-17,4348327"
LST (Logistique-Services-Transports Trading),"14,736297","-17,4721125"
Loditech,"14,7389901","-17,4732956"
TCD 2,"14,704405","-17,4338963"
ASECNA - Direction des études Projets,"14,7376573","-17,5140868"
Ecole Primaire Sendou,"14,6721937","-17,2068481"
Mosquée Cité ICS Zac Mbao,"14,7386919","-17,3011793"
GianiBois,"14,7437867","-17,4510423"
Soboa,"14,7639312","-17,4793936"
Poissonnerie,"14,7186934","-17,261102"
Salon 2 Coif,"14,7494493","-17,4728124"
Dem Dikk Couture Pret A Porter Kane & Freres Homme Femme & Enfant,"14,7539259","-17,2732649"
Mbaye Espace Alimentation,"14,7201692","-17,4806529"
"Faculté De Médecine, De Pharmacie Et D'odonto-Stomatologie","14,6867861","-17,4668904"
Chez paco,"14,7597423","-17,4584664"
Salon De Coiffure Lissal,"14,7639926","-17,3987411"
La Crêpiere Fast Food,"14,7027255","-17,4526583"
Nayel Consulting,"14,7719965","-17,3475142"
Service Régional CMU de Dakar,"14,7501703","-17,4662303"
Sonatel,"14,7154633","-17,2715128"
Melting Pot Dakar,"14,7221767","-17,4712763"
Black Pearl,"14,738666","-17,5100176"
Diaz Couture,"14,7893045","-17,3147476"
Depot DPA,"14,7545905","-17,4263563"
Bubble Wash,"14,7400145","-17,5177946"
E-RH Consulting cabinet,"14,7396544","-17,466131"
Teranga Coffee Shop,"14,7825528","-17,3885791"
Mosquee Serigne Babacar SY,"14,6909133","-17,4476456"
Alimentation Sope Naby.Izi.Seddo.,"14,7665341","-17,3422256"
Boutique Americaine,"14,7366267","-17,4366342"
Restaurant Chez Mandour,"14,7637078","-17,3523567"
DHL Service Point (MEDIA PLUS DAKAR),"14,73572","-17,47236"
Boutique Serigne Babacar Sy,"14,7499857","-17,3626327"
Tekki design,"14,6840077","-17,4545434"
Mausolée de Seydina Issa Rohou Laye,"14,7712828","-17,4261943"
TRAVELSPOT,"14,7149684","-17,4657112"
Ecole Publique Elementaire Medina Mbao Gare 1,"14,749098","-17,309833"
Poulet d'or,"14,7131333","-17,4619757"
Bijouterie Maison De L'or,"14,7040845","-17,4466578"
Dakar Technology Consulting,"14,7240992","-17,4530327"
Laboratory Treatment Wastewater Ifan,"14,6830492","-17,4674116"
Bambilor,"14,8060601","-17,1788718"
Hello Solutions Informatiques,"14,7612416","-17,4537556"
Domicile DAKAR,"14,6728738","-17,4450592"
Mosquée U 13,"14,7562398","-17,4374612"
Zico Coffe Reubeus,"14,7581085","-17,3863615"
Restaurant La Pointe des Almadies,"14,745463","-17,52805"
casa dakar,"14,7674571","-17,3936867"
Garage MGS,"14,716919","-17,4764274"
Pharmacie Dabakh Malick,"14,6941925","-17,4442212"
Ndiguel Bijouterie,"14,7658407","-17,4244546"
EDMG,"14,7720903","-17,417153"
Thierno seck zac mbao,"14,7385637","-17,3013586"
Adama sy,"14,7722935","-17,3791677"
ISI,"14,6937844","-17,4543015"
Korus restaurant Lounge,"14,6967174","-17,4648221"
Touba Couture Ndeye Ngom,"14,7864799","-17,2909603"
Villa 216 BéBé MBENE NIANG CITé ADE ZAC MBAO,"14,7360634","-17,2913201"
Fast Food/Chez Mia Wakeur Serigne Fallou,"14,7164821","-17,2777065"
Librairie Papeterie,"14,7354708","-17,3152218"
Douceurs D'Ailleurs Parfumerie,"14,748441","-17,5074231"
Teyliom,"14,725658","-17,2079657"
CHERIF ADBOULAYE THIAW LAYE,"14,6942381","-17,4493367"
Groupe Scolaire Amgela Davis,"14,7858559","-17,3679593"
LES GOURMETS,"14,7305137","-17,4634538"
Elisa'glam,"14,7152527","-17,4541123"
Cimetière Mbelelane,"14,760968","-17,4772629"
diazakaland restaurant,"14,71554","-17,270929"
TotalEnergies KEUR MASSAR 1,"14,7702635","-17,3190134"
Chaussure Orthopedique Et Medicale,"14,7269275","-17,4464963"
Keya Collection,"14,7365846","-17,4245505"
Gora shop,"14,7743193","-17,3976919"
Urban Food,"14,7392062","-17,2961498"
Résidence woussel Yenne,"14,6323125","-17,1559375"
Caserne Sapeurs Pompier,"14,683693","-17,4401706"
AQUANIQUE by SENEGINDIA,"14,7533841","-17,4966757"
School Group El Hadji Amadou Niane,"14,7562155","-17,3642352"
Yeri SARL,"14,745966","-17,4775922"
"Sen Assurances, SA","14,6755009","-17,4455501"
TMC HLM,"14,704849","-17,4465777"
Atelier mecano the motos,"14,7238856","-17,2610759"
Resto Bar KOUKOULOUTOU,"14,760778","-17,2836616"
STIA TRANSIT,"14,6985054","-17,4250757"
Mansour Faye Immobilier,"14,8018125","-17,1848125"
Khairate Global Business,"14,717818","-17,256736"
Complex School Sen'exellence,"14,7284418","-17,2479159"
Pizza 350°,"14,7497309","-17,4671597"
Alimentation Mohamed,"14,7259842","-17,454482"
Ism Madiba Leadership Institute,"14,6903675","-17,4577954"
Institut Mariste d'Enseignement Supérieur ( IMES ),"14,7322019","-17,43552"
Sen Walo Boutique,"14,7061232","-17,4500485"
Resto Sope Serigne Fallou Chez Mami,"14,8031942","-17,3383119"
Pharmacie Saint Joseph,"14,733318","-17,3101525"
AB Maison du Coton,"14,7363962","-17,4249397"
Sante Yalla Couture,"14,7631037","-17,416074"
Michou atame,"14,7497521","-17,4701766"
FAMA RENT A CAR,"14,7582377","-17,4786952"
Mosquée Keur Massar Unité 05,"14,7806005","-17,3209853"
LEAP Transparence Sénégal,"14,7203077","-17,4723961"
"Association Culturelle d'Autopromotion Eduative et Social (Senegal, Dakar)","14,7569363","-17,4462256"
Keur Ndiaga Diagne,"14,7628181","-17,3460975"
Bureau SOCODEVI,"14,7535319","-17,4857715"
Parking Autoroute a Péage,"14,7521731","-17,372641"
Boutique Gueye et Frères,"14,7109902","-17,443138"
nabienne business,"14,7440221","-17,4479969"
Restaurant Saloum Saloum,"14,6788115","-17,4586765"
Medical Office Rhumatologie,"14,6942531","-17,4587114"
Filtex,"14,7318724","-17,472523"
Diaz Family,"14,7697854","-17,3523855"
Ngor Fast-Food,"14,7453415","-17,5125897"
Bar Bourafaye,"14,7753674","-17,3868342"
Laye Deco Events,"14,7682779","-17,4069616"
Priceless design,"14,7465675","-17,4695971"
Lycée Zone de Recasement,"14,7849726","-17,321227"
Sen Optique Vision Plus ( Ouest foire ),"14,7496153","-17,470664"
Chez Zico Ndiaye,"14,7186655","-17,1572358"
Chez Rama,"14,6819868","-17,4538939"
Atlantika,"14,7180454","-17,4916339"
Maison Fatou Lam,"14,7709665","-17,4215145"
Terrain Foot Et Bar,"14,7773878","-17,3186468"
Pharmacie Stella,"14,7038391","-17,4749944"
MaynOuche Fancy Fabrics,"14,7391882","-17,4571879"
Le comptoir Ouakam,"14,7275433","-17,4879793"
Oustaz Aw,"14,7342955","-17,1849589"
Keur sokhna Ngom,"14,734347","-17,3108741"
Al Amine Boutique,"14,7383393","-17,1466803"
Fass,"14,7575862","-17,4380644"
Best Marketing Agency Dakar,"14,7474839","-17,3871232"
électroménager madina,"14,67705","-17,4522765"
Njay & Barrow,"14,7291991","-17,4506485"
Médina bambylor,"14,79959","-17,183611"
sac pret de chez eric,"14,7179457","-17,4853983"
Pavillon F UCAD,"14,690842","-17,4640185"
Prisma Industries Showroom Mermoz,"14,7047875","-17,474001"
Mosquée U17,"14,7836231","-17,3243029"
Assane diop,"14,786019","-17,214996"
Excellence Glam,"14,7096936","-17,4468705"
Sylla 2291,"14,7658462","-17,3131432"
Diamono Couture,"14,7408652","-17,3604471"
Cogic,"14,7505994","-17,4409208"
Cité Keur Yarakh Public Garden,"14,7322107","-17,4232329"
Boy Boy coiffure,"14,7214294","-17,2822812"
Keur jarraf,"14,6997209","-17,4602721"
MWAMI,"14,7110021","-17,4664186"
CABINET YOUGA FALL,"14,7421418","-17,4570521"
Cpack,"14,7502573","-17,4685783"
Pressing Center Blanchisserie,"14,7182222","-17,2589507"
Chez NDIAYE,"14,7480157","-17,3993959"
Futumne Records,"14,7303263","-17,2880591"
BARHAM GENERAL TRADING SA,"14,7417566","-17,4518851"
Ivan Veta Fruits et Légumes,"14,7184911","-17,1825598"
école de NG,"14,7444563","-17,5094553"
ESSOL SARL,"14,7693274","-17,4118714"
Residence Almadie Remembrement,"14,7384441","-17,5065708"
Terminus Liberté V,"14,7231756","-17,4586283"
Moussa Touré,"14,6704496","-17,4385888"
Résidence Mansour Samba,"14,7624287","-17,4552047"
Saliou couture,"14,7407082","-17,3842938"
Megasa Construction,"14,6799234","-17,4634517"
Station Neptune Sébikotane,"14,7357366","-17,1501798"
Blossom Excellence,"14,7029429","-17,4651348"
Mauritania Airlines,"14,6685982","-17,433279"
Digismile Agency,"14,7400549","-17,4590403"
Univers Business Group,"14,8026064","-17,2760416"
Bureau Casamançaise Hann,"14,7208481","-17,4355763"
Savoura Business,"14,7061799","-17,4613295"
Site Sahel,"14,704982","-17,4595898"
KENU - LAB’Oratoire des Imaginaires,"14,72846","-17,481585"
Restaurant Mame Diarra,"14,7622363","-17,4800687"
Technopole de Dakar,"14,7576748","-17,4097912"
Lopymarket,"14,7562331","-17,3810359"
Ifpme Ipham,,
Cours Sainte Marie de Hann,"14,7326789","-17,4357077"
Daarayboromndame Academy,"14,7595774","-17,422918"
senelec,"14,771383","-17,38898"
Bambinerie kama kids,"14,7149321","-17,4447322"
Le Béchal,"14,7616157","-17,4498711"
Dalaal ak jamm terrase,"14,7508869","-17,5162666"
Stay.plus Appartements CPI,"14,7310736","-17,4717481"
Mame Balla Fashion,"14,7545394","-17,4751011"
Alimentation Boubacar Diallo,"14,677216","-17,4407505"
Chez JAH,"14,796218","-17,3374353"
Cheikh Mbow Chaussure,"14,6884573","-17,4490935"
Boutique Wa Keur Serigne Babacar Sy,"14,7464285","-17,3746423"
Auberge Keur Diame,"14,7625992","-17,457153"
Maria Nails,"14,7500085","-17,4701758"
Logihard,"14,6818607","-17,4603488"
NOVA,"14,6691831","-17,4368466"
KAF Senegal Opportunity,"14,7420211","-17,4558574"
ORLOPHTA Optique,"14,7351614","-17,2865002"
Ndiaye Touba Couture,"14,7802554","-17,3163092"
Metal Afrique,"14,7113494","-17,4393277"
Mayra food,"14,7184148","-17,4627827"
Au paradis du sommeil,"14,6686549","-17,438298"
Les SIGNARES,"14,747367","-17,4254033"
Sans Farine Ni Sucre,"14,754087","-17,3550202"
Alimentation Generale Wakeur Serigne Fallou,"14,7704648","-17,4238718"
Salle de jeux Kepargui,"14,7550246","-17,4503412"
Klingele Emballage Senegal SA,"14,7283481","-17,1926195"
Un peu plus,"14,7218556","-17,4465763"
Mundialflex,"14,7465743","-17,467304"
METROPOLE VOYAGE,"14,7453095","-17,4681149"
Bourou Ngalam,"14,6679438","-17,4411255"
DIOUM’O unité 1,"14,7688447","-17,4203452"
Quincaillerie Sylla & Freres,"14,7426961","-17,4159067"
Mass barbershop,"14,740648","-17,412178"
"WFP, RBD annex 1","14,6591468","-17,4353774"
Nakamu long,"14,8440544","-17,2409479"
Restaurant La Solution Doomi Ndar,"14,7271279","-17,5007436"
Elementary School Massaere Diagne,"14,7613879","-17,3732135"
Auto Ecole Al Barka,"14,7398732","-17,4525614"
Dakar Couture Homme Et Femme Chez Les Frères Unis,"14,6796376","-17,4526892"
RESTAURANT / BAR - TRADIÇON,"14,7286883","-17,4628021"
Enfht Ecole Nationale Formation Hoteliere Touristique,"14,6696958","-17,4278441"
Groupe-topinter,"14,7280761","-17,4996009"
De la fosse en face canal 4,"14,6865647","-17,4594468"
Western Union,"14,7724388","-17,3162364"
Sen Boutique,"14,7465981","-17,4854784"
Primary School U 13,"14,754361","-17,4385322"
www.environnementinfos.sn,"14,7776344","-17,4019033"
Oumar khou,"14,748596","-17,405524"
DuckPrime Gold,"14,6792444","-17,4560466"
CamaSeye Images,"14,7276889","-17,4528484"
Pharmacie Petit Ouzin,"14,7855204","-17,273719"
Sun Home Technology Co.;Ltd,"14,7438668","-17,512154"
MomoTech,"14,6830938","-17,4573062"
Keur Koti,"14,7365739","-17,455183"
Assane Shop,"14,7524314","-17,4433781"
MO SERVICES,"14,7577905","-17,4633056"
Samba,"14,7849847","-17,3379204"
Salon Dakar,"14,713417","-17,4766455"
SENERGY 2,"14,6968624","-17,4623021"
Area Furniture,"14,662182","-17,4377137"
Ellipse Projects Sénégal,"14,7275751","-17,5045682"
Pressing Angela,"14,7512306","-17,4514495"
Kebe Couture,"14,7576859","-17,2781759"
Neo Lavage,"14,7342868","-17,4978254"
Sen Marche,"14,7675468","-17,4253659"
Beauty by Thia,"14,7380174","-17,4255671"
Challenge Market,"14,7478225","-17,4016938"
Clave,"14,7473468","-17,5141416"
Libre Service Mono Prix,"14,668025","-17,4387496"
Chantale-Coiffure,"14,6888277","-17,4533986"
Restaurant Serigne Saliou Mbacke,"14,784822","-17,3207096"
Djolof Chicken Maristes,"14,7418337","-17,4273838"
TERRAINS KYA IMMO,"14,6740625","-17,1826875"
Edk,"14,7447681","-17,468319"
cheztacko fast-food,"14,7352487","-17,1499324"
University bus stop,"14,691009","-17,4596502"
MILLENIUM COSMETIQUE HABILLEMENTS,"14,6764983","-17,4465479"
Yama Couture,"14,7108657","-17,4446912"
Ophtalmo,"14,6709926","-17,4340237"
SCTMT Logistics Park Mole 10,"14,6852118","-17,4349928"
Marché au poisson de Niangal,"14,6185753","-17,1577589"
Mii Ngoyane,"14,7631265","-17,479724"
Group Scolaire Franco-Arabc Al Mouhammadya,"14,7603083","-17,457029"
Maroc -bazar,"14,6865759","-17,4508582"
Webhelp,"14,7452134","-17,5248159"
Princess Hair,"14,7231191","-17,4572781"
Residence Yaye Fatou Baity,"14,7287944","-17,454595"
ONG RABEC,"14,713122","-17,4516749"
School El Hajj Mbaye Diop,"14,7194778","-17,4906543"
Legal Shop AJS,"14,6802456","-17,4530388"
Chez Gilbert auberge mariste,"14,732247","-17,43719"
Pharmacie AS SALIHOU,"14,7547874","-17,3798618"
Rond point grand mbao,"14,7388688","-17,3106819"
Wa Keur Serigne Babacar Sy Deux Roues Diallo Et Frére,"14,7121153","-17,4497733"
Sokhna Coumba Diene,"14,7173925","-17,4685989"
Bijouterie De La Corniche Seye & Fréres,"14,7792041","-17,3917013"
Poissonnerie Nadanael,"14,6853367","-17,441095"
Mon Résidence,"14,7086145","-17,4542105"
Malika Connection Of English Lovers,"14,7965555","-17,3367799"
Blanchisserie Chez M. Barry,"14,7390525","-17,4544644"
Restaurant Sope Naby Chez Codou,"14,7458716","-17,5127637"
FAST FOOD,"14,7337324","-17,4291578"
TOUTAF Resto Diamniadio,"14,721811","-17,1808531"
Nora shop,"14,7545808","-17,4629172"
Fastfood - Restaurant Chez Kara,"14,8059451","-17,2812333"
Chez Ahma,"14,7605275","-17,2230032"
STATUS Sarl,"14,7464008","-17,5128392"
Travail,"14,7270138","-17,4628359"
KK SHOP,"14,7757933","-17,4081549"
ONG Concept,"14,759882","-17,4335716"
AALIM IMMOBILIER,"14,7315662","-17,4973512"
Sublim Beauty,"14,7722001","-17,414092"
Ibou électronique,"14,7238296","-17,481519"
Saran soft price,"14,7436791","-17,4595869"
Sope Serigne Babacar,"14,7862771","-17,2918088"
Les Saveurs d’Yaye,"14,730909","-17,4699803"
Golf sud,"14,7663066","-17,4118716"
Tapisserie Sopey Cheikh Dieumb,"14,7929151","-17,3297198"
Institution Mimi,"14,7339172","-17,4308643"
Fitlab,"14,6993344","-17,4631069"
Sba Fashion Couture,"14,7336695","-17,4593454"
Darou Salam Coiffure,"14,7423327","-17,4299866"
Fatima Zahra Private School of Rufisque 2,"14,7395084","-17,2708378"
SALIM ATTYE PERFORMANCE TRAINING CENTER,"14,6675041","-17,4371935"
Bergerie Yaram OK,"14,7072715","-17,4655845"
Han village,"14,7190981","-17,4346198"
Quincaillerie Plomberie Generale,"14,8021483","-17,1853533"
Boussoura Creche Annexe,"14,7442268","-17,4573116"
معهد مزامير آل داوُد لتحفيظ القرآن الكريم والتربية الإسلامية,"14,781781","-17,3940732"
JAI LAXMI Diamniadio SENEGAL,"14,7334474","-17,1776556"
Chez moi,"14,7242522","-17,4797222"
APPLE XELCOM SERVICES,"14,6715814","-17,4278176"
Boucherie,"14,738101","-17,4358488"
Elegance Couture,"14,7778251","-17,3867996"
Gendarmerie Thiong,"14,6701846","-17,4349684"
EHORODOU,"14,6906892","-17,4521926"
Abderrahmane,"14,7236087","-17,4904506"
Keur massar parcelle unité 3 villa n 240,"14,7802612","-17,3152281"
Africa Global Logistics,"14,7070778","-17,4347261"
Poste Health Hamo Tefess,"14,7795293","-17,3969877"
Bigmouth,"14,6701967","-17,4344392"
SCANTIMA SARL,"14,730707","-17,4673101"
Institution School Amina Sow Mbaye,"14,7943633","-17,1971943"
Béye Création,"14,7862124","-17,374595"
petite ngor,"14,7491074","-17,5133062"
GEDEN,"14,7178286","-17,4887895"
Alimentation Generale Alpha Beye,"14,7609423","-17,3700561"
Biba Belle-Shop,"14,6202806","-17,1588167"
EGECOM Chez Mame,"14,8197851","-17,2750802"
Keur Laye,"14,719727","-17,466223"
"SIGMA ASSUR. S A, lot 21 sacré coeur pyrotechnie","14,7069695","-17,4734213"
Shell Station Touré,"14,7749732","-17,3832452"
Adama pouye,"14,7235068","-17,2595031"
TFM,"14,7418188","-17,5187227"
LadyMaje Couture,"14,7035097","-17,4687425"
maison de l'ameublement ( Baly Abdou Thiam ),"14,7264428","-17,438963"
Cité Tawfeex,"14,7772595","-17,3447547"
Kafunel,"14,7644743","-17,3660119"
mōmi yoga Dakar,"14,7517064","-17,5078216"
BRT PE Grd Medine,"14,7482353","-17,444262"
Keur Preira,"14,7795295","-17,3020332"
Djamm Dji Couture,"14,7754462","-17,3733568"
Chez Alima Restaurant,"14,7927188","-17,359405"
Centre Ginddi,"14,7297265","-17,4449419"
Quincaillerie Generale,"14,7181875","-17,4427858"
Ideal Style,"14,6980076","-17,4615289"
Conseil National de Lutte contre le Sida (CNLS),"14,6914632","-17,4666986"
Terrain USO Terrain de Foot,"14,730524","-17,4876318"
Pharmacie GUIGON,"14,6690715","-17,4371633"
Station Shell,"14,7768448","-17,393615"
école Normale William Ponty,"14,7434762","-17,174243"
MOUSSAD PELERINAGE A LA MECQUE,"14,7124479","-17,4681751"
Total Station Lat Dior,"14,6736857","-17,4319855"
Diamond Pro Auto & Multi-services,"14,7148406","-17,4458647"
Restaurant,"14,7767831","-17,3964552"
Fast-Food Cheikh Tidiane Sy,"14,7422913","-17,3745788"
Barry,"14,6674681","-17,4380213"
Isit Afrique,"14,7083541","-17,4727631"
COGASEN Company,"14,7200137","-17,4799337"
Librairie Papeterie La Sagesse,"14,753644","-17,2835191"
Ecole Franco Arabe Oumar Ibnoul Khatab,"14,8021267","-17,2778081"
Yarakh,"14,6987562","-17,436304"
Capitol Pub,"14,7099017","-17,4532859"
Euro Meuble Bano Sene Afrio,"14,7321765","-17,4567701"
La Fruteria Yoff (Juice Bar),"14,7553054","-17,4734954"
Astoria Hotel,"14,6741344","-17,4340553"
PERSPECTIVE SééGAL,"14,8436141","-17,1826191"
Classy,"14,7554209","-17,4605261"
Be Energy Sénégal,"14,7465056","-17,3647543"
Indigo,"14,7455933","-17,4412253"
domicile keur massar,"14,7896875","-17,2954631"
Plan International Sénégal,"14,7131128","-17,4671611"
TIKA Dakar Program Koordinasyon Ofisi-Bureau du Programme de Coordination,"14,7397402","-17,5142029"
International School Aesthetic And Hairstyle,"14,7459854","-17,4654876"
Terrain sendou,"14,6785985","-17,1950221"
SALOUM CARO YOFF,"14,7563339","-17,4726794"
Restaurant Salimata,"14,7361258","-17,4549052"
Mole 4,"14,6938876","-17,4307825"
Fédération Pencum Ndakaru,"14,7596212","-17,4630403"
Maza Collection,"14,7547444","-17,458999"
Farokh Couture,"14,7610187","-17,4395828"
Residence Ami Bamba,"14,7232474","-17,4916424"
Touba Bagdad 1,"14,7513885","-17,3554859"
Yarakh Canoe Club,"14,7277687","-17,4240157"
GééRAL PLOMBERIE D'ENTRETIEN (G.P.E),"14,7660625","-17,4335625"
LaDiezFashion,"14,7719405","-17,4172075"
Boutique astou,"14,7512249","-17,4722492"
HortiConnect Sénégal,"14,7613109","-17,4550576"
YMB CREA,"14,7499277","-17,4569465"
School El Hadji Abdou Seck,"14,7589682","-17,4775115"
CANAL+ Store Sahm,"14,6855377","-17,4535575"
usine digital,"14,7413811","-17,5118006"
Nouroul hijab,"14,7292458","-17,4587011"
YAWLA SHOP,"14,7041159","-17,4602562"
Issa,"14,6902726","-17,45704"
Mountain Top Nursery,"14,7295436","-17,4462216"
Mosque Red Mountain,"14,7231276","-17,4826714"
DS Bikers Coffee,"14,7143093","-17,4540117"
"Sipres Mbao, Pa Dieng","14,727508","-17,3131592"
Pharmacie Serigne Saliou Mbacké,"14,7652208","-17,3695782"
HOME,"14,7293538","-17,3213204"
Cabinet BEMF for Africa,"14,7536341","-17,4679858"
Ndeffa Style boutique,"14,7593119","-17,4510441"
Mini Resto Fast Food,"14,699062","-17,4693354"
Diountou Pressing,"14,7675497","-17,3352709"
Ndir Dorwar Business,"14,7863635","-17,3707436"
Bar luxe,"14,7393649","-17,51001"
Auto école Walo prestige,"14,7526798","-17,3833594"
Modou Gueye Création,"14,6858883","-17,4462661"
Kamie Pressing,"14,7061822","-17,4622843"
TotalEnergies CAMBERENE2,"14,7567316","-17,427996"
Z'NA,"14,6883413","-17,4723032"
Thiam Couture,"14,7847067","-17,3792931"
CENTRE MEDICO-SOCIAL CHIFAA,"14,7556917","-17,4507842"
Mamadoudiallo,"14,7330604","-17,2753902"
2M Transport,"14,7557526","-17,452158"
OZE BTP,"14,6732518","-17,4352966"
Cite Hilal,"14,7374005","-17,41472"
Marché keur Massar,"14,7766053","-17,3063444"
Ousman guest house,"14,7032816","-17,4578144"
Nour Express Voyage,"14,7543566","-17,4675706"
Eye Doctor,"14,6690992","-17,4335291"
Sima Mode,"14,732231","-17,4411877"
