lieu,latitude,longitude
Mahdiyou American Kitchen,"14,7599233","-17,4726691"
Fa Boutique,"14,7655297","-17,3927127"
Café gui,"14,7625504","-17,3095111"
Paton d'Or,"14,7230051","-17,4628142"
Keur Yaye Aida,"14,729852","-17,325817"
Volontaire Vert,"14,780138","-17,3775436"
Beauty Zone,"14,7314473","-17,4969952"
PHARMEC Sénégal,"14,7120563","-17,4745428"
Chez Macina,"14,7480826","-17,4414973"
Med Bio,"14,7211058","-17,2598123"
Boulangerie Pia,"14,7456963","-17,3010362"
Wandiayene,"14,6710066","-17,4377843"
"SEBI YEBA, SEBIKOTANE SENEGAL","14,7450238","-17,1336806"
Agence Free Sea Plaza,"14,6931974","-17,4739207"
l'ace du mobiler,"14,69789","-17,4369451"
Immeuble Kalia Point E,"14,6966788","-17,4597308"
AL-ZAHRA'A SHOP,"14,7403142","-17,2902456"
Queen Torodo Boutique,"14,7682643","-17,4151562"
Rose'Hair,"14,721834","-17,4675756"
Sunu Gateaux,"14,7082506","-17,4603082"
Restaurant Du Pont,"14,7427859","-17,4486976"
Global TIC,"14,7409561","-17,4440462"
Terrain Sante Yalla - DEGGO,"14,7303108","-17,2808129"
Institut Formation El Hadji Papa Gueye Fall,"14,7436593","-17,4152907"
Wely industry,"14,7228367","-17,4425467"
Bakh Yaye Fashion,"14,7556122","-17,4422169"
Madeleine National Park,"14,6781794","-17,4627427"
Dakar Voyages,"14,6685988","-17,4311417"
Optimum sen,"14,7482234","-17,4548591"
Quincaillerie Diamalaye,"14,8116345","-17,2510663"
Abdourahmane et Frères,"14,7400282","-17,4494304"
AVISEN,"14,7239152","-17,2917119"
Groupe Scolaire David Diop Mendes,"14,75372","-17,3549002"
Quincaillerie Thiadiaye Tine & Freres,"14,8182533","-17,2856596"
Magasin,"14,6878512","-17,4530453"
Nabou Creations,"14,6959269","-17,4559424"
Cfpt,"14,7422803","-17,4698034"
Kadia guissé,"14,7712019","-17,3854481"
Nafa Finance Senegal,"14,7356651","-17,4523113"
Sous-préfecture arrondissement de Thiaroye,"14,7456526","-17,3301468"
Village artisanal de Rufisque,"14,720438","-17,282272"
"Mantra carrelage, céramique","14,7149864","-17,1654521"
Resto Abidjan Dakar,"14,7403778","-17,4374706"
Nekh Soow Saf 7,"14,7672511","-17,3799671"
PNP Fitness Club,"14,7260619","-17,3047719"
